Product Name,Current Price,Old Price,Discount,Rating,Vendor
AOCWEI Laptop Windows 11 Intel Celeron 6GB+256GB SSD 15.6-inch 1920*1080 2.4G+5G WiFi +mouse,290900.0,1666000.0,0.83,5.0,Jumia
"DELL LATITUDE 3180, 4GB RAM, 128GB SSD, WINDOWS 11",180000.0,0.0,0.0,5.0,Jumia
DELL Latitude 3189 X360 INTEL PENTIUM 256GB SSD 4GB WIN 10 Pro+pouch,185000.0,300000.0,0.38,3.5,Jumia
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+MOUSE,640000.0,0.0,0.0,0.0,Jumia
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10 +USB LIGHT FOR KEYBORD,150000.0,220900.0,0.32,4.0,Jumia
"DELL LATITUDE 3190 INTEL CELERON,4GB RAM,256GB SSD + Keyboard Flash Light",170000.0,200000.0,0.15,5.0,Jumia
DELL Latitude 3450 Core I3 ITB HDD 8GB RAM Wins 10 + Bag,350000.0,0.0,0.0,0.0,Jumia
"Hp Stream 11-ah117wm 11.6"", Intel Celeron4, 4GB RAM, 32GB EMMC, Windows 10 Home With 32GB Flash Drive",125000.0,0.0,0.0,3.0,Jumia
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,730000.0,990000.0,0.26,0.0,Jumia
Hp ELITEBOOK 830 G7 TOUCHSCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYS FINGERPRINT WINS 11PRO+ Bag,700000.0,0.0,0.0,0.0,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,150000.0,250000.0,0.4,3.0,Jumia
Hp Stream 11 PRO Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ USB Light For Keyboard,129000.0,260000.0,0.5,4.5,Jumia
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+BAG,505000.0,600000.0,0.16,3.3,Jumia
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,512GB SSD WIN 11 + Light",280000.0,350900.0,0.2,0.0,Jumia
Hp ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM Windows 11+ 32GB FLASH & POUCH BAG,650000.0,945000.0,0.31,5.0,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,170000.0,200000.0,0.15,3.9,Jumia
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch,120000.0,180000.0,0.33,0.0,Jumia
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 128GB SSD 8GB WIN 11 Pro",185000.0,400000.0,0.54,0.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro  +BAG,485000.0,530000.0,0.08,4.0,Jumia
Hp ProBook 11 X360- TOUCH- 256GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG,330000.0,480000.0,0.31,5.0,Jumia
DELL Latitude 7490 TOUCHSCREEN 512GB SSD/16GB RAM/ Intel Core I5 / BACKLIGHT KEYBOARD-WIN 11PRO+BAG,750000.0,880000.0,0.15,0.0,Jumia
Hp EliteBook X360 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+ BAG,540000.0,765000.0,0.29,4.0,Jumia
"Hp 15 10th Gen Intel Core I3 12GB RAM, 1TB HDD-WIN 10+ Mouse",365000.0,0.0,0.0,0.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-16GB RAM-256GB SSD-Backlit Keyboard 11 Pro+BAG,465000.0,590000.0,0.21,4.5,Jumia
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,445000.0,560000.0,0.21,0.0,Jumia
