Product Name,Current Price,Old Price,Discount,Ratings,URL,Photo,Vendor
"HP 240 G8 2R9H9EA CELERON N4020 4GB 500GB HDD, INTEL INTEGRATED GRAPHICS, 14” HD 14″ DOS, BLACK, 1YR WTY",,"₦419,233.95",,,https://www.amaget.com/product/hp-240-g8-2r9h9ea-celeron-n4020/,https://www.amaget.com/wp-content/uploads/2023/08/1681501926488.jpg4651282286439b141e0a6f-300x300.jpg,Amaget Site
Lenovo ThinkPad X1 Carbon G6 – 8th Gen TA567024 Intel Core i7 – 512GB SSD – 16GB RAM – 8GB Total Graphics Touchscreen – Fingerprint – Face ID – Keyboard Light – HDMI – Windows 11 Pro OPEN BOX,,"₦600,000.00",,,https://www.amaget.com/product/lenovo-thinkpad-x1-carbon-g6-8th-gen-ta567024/,https://www.amaget.com/wp-content/uploads/2023/08/13538-fi1B0Y2t-300x300.webp,Amaget Site
"ASUS X1400MA-BV638W LAPTOP INTEL® CELERON® N4020 PROCESSOR, 4GB DDR4, 256GB M.2 NVME™ PCIE® 3.0 SSD, BACKLIT CHICLET KEYBOARD, 14.0” INCHES HD, 2 YEARS WARRANTY, WINDOWS 11 HOME, SLATE GREY 90NB0TG2-M00CB0",,"₦349,361.63",,,https://www.amaget.com/product/asus-x1400ma-bv638w-laptop-intel-celeron/,https://www.amaget.com/wp-content/uploads/2023/07/Asus-A516-3-300x300.jpg,Amaget Site
"LENOVO IDEAPAD 1 15IGL7 82V700BMUE INTEL® CELERON® N4020 4GB SOLDERED DDR4-2400, MEMORY SOLDERED TO SYSTEM BOARD, 256GB SSD M.2 2242 PCIE® 3.0X2 NVME®, 15.6″ FHD (1920X1080) TN 220NITS ANTI-GLARE IRON GREY, FREEDOS, 1YR WARRANTY",,"₦260,000.00",,,https://www.amaget.com/product/lenovo-ideapad-1-15igl7-82v700bmue/,https://www.amaget.com/wp-content/uploads/2023/07/FTF1-15-300x300.png,Amaget Site
"HP SPECTRE X360 2-IN-1 LAPTOP 14-EF0022NA, 12TH GENERATION INTEL® CORE™ I7-1255U, INTEL® EVO, INTEGRATED, INTEL® UHD GRAPHICS, 16 GB LPDDR4X-4266 MHZ RAM (ONBOARD), 512 GB PCIE® NVME™ TLC M.2 SSD, 34.3 CM (13.5″) DIAGONAL, MULTITOUCH-ENABLED, IPS, EDGE-TO-EDGE GLASS, TOUCHSCREEN, HP RECHARGEABLE TILT PEN, WINDOWS 11 HOME",,"₦2,596,251.42",,,https://www.amaget.com/product/hp-spectre-x360-2-in-1-laptop-14-ef0022na/,https://www.amaget.com/wp-content/uploads/2023/07/image-removebg-preview-2022-09-22T101831.161-400x400-1-300x300.jpg,Amaget Site
"LENOVO THINKBOOK 15 G2 ITL 20VE0051UE INTEL CORE I5-1135G7, 8GB BASE DDR4, 512GB SSD BACKLIT KEYBOARD, UK KEYBOARD, MINERAL GREY, FREEDOS, 1YR WARRANTY",,"₦827,000.00",,,https://www.amaget.com/product/lenovo-thinkbook-15-g2-itl-20ve0051ue/,https://www.amaget.com/wp-content/uploads/2022/04/DMnPU9Sjjgls5H38hjBCpH3B61mznjcBvLUOYAMr-300x300.jpg,Amaget Site
WD ELEMENTS 1TB EXT HDD,"₦93,614.93","₦93,614.93",,,https://www.amaget.com/product/wd-elements-1tb-ext-hdd/,https://www.amaget.com/wp-content/uploads/2023/07/1-73-300x300.jpg,Amaget Site
"ASUS Vivobook 14 E1400MA-BV2282W LAPTOP INTEL® CELERON® N4020 4GB DDR4, 256GB M.2 NVME™ PCIE® 3.0 SSD, BACKLIT CHICLET KEYBOARD, 14.0” HD, 2 YEARS WARRANTY WINDOWS 11 HOME, ROSE PINK 90NB0Q14-M017P0",,"₦330,000.00",,,https://www.amaget.com/product/asus-vivobook-14-e1400ma-bv2282w-laptop/,https://www.amaget.com/wp-content/uploads/2023/07/1-300x300.jpg,Amaget Site
8GB DDR4 LAPTOP RAM,"₦44,680.85","₦44,680.85",,,https://www.amaget.com/product/8gb-ddr4-laptop-ram/,https://www.amaget.com/wp-content/uploads/2023/06/DWAC00338-1-300x300.jpg,Amaget Site
HP ENVY 27-CP0053NH BUNDLE AIO PC INTEL CORE I7-12700 (2.1GHZ) (4GB GDDR6 DEDICATED) 32GB DDR5-4000MHZ RAM 2TB PCIE NVME TLC M.2 SSD & 1TB  SSD 27” THREE-SIDED MICRO-EDGE ANTI-REFLECTION WI-FI BLUETOOTH WIRELESS KEYBOARD & MOUSE MU-MIMO BANG & OLUFSEN W/DUAL SPEAKERS W/STAND W/INBUILT WIRELESS CHARGER WINDOWS 11 HOME TURBO SILVER (7K3D6EA) ,"₦3,444,934.36","₦3,444,934.36",,,https://www.amaget.com/product/hp-envy-27-cp0053nh-bundle-aio-pc/,https://www.amaget.com/wp-content/uploads/2023/06/download-65.jpg,Amaget Site
HP PAVILION 27-CA1228NH BUNDLE ALL-IN-ONE PC INTEL CORE I7-12700T (4GB GDDR5 DEDICATED) 16GB DDR4-3200 MHZ RAM 1TB SSD 27” (TOUCH) CAMERA WI-FI BLUETOOTH WIRELESS KEYBOARD & MOUSE MU-MIMO W/STAND BANG & OLUFSEN W/DUAL 4W SPEAKERS WINDOWS 11 HOME SNOWFLAKE WHITE (79R57EA),"₦2,145,487.47","₦2,145,487.47",,,https://www.amaget.com/product/hp-pavilion-27-ca1228nh-bundle-all-in-one/,https://www.amaget.com/wp-content/uploads/2023/06/HP-Pavilion-27-d0063nh-Bundle-PC4-300x300.png,Amaget Site
HP PAVILION 24-CA1256NH BUNDLE ALL-IN-ONE PC INTEL CORE I7-12700T (1.4 GHZ)  (4GB GDDR5 DEDICATED) 16GB DDR4 RAM 512GB SSD 23.8” TOUCH CAMERA WI-FI BLUETOOTH USB WIRED KEYBOARD & MOUSE MU-MIMO W/STAND BANG & OLUFSEN W/DUAL 4W SPEAKERS WINDOWS 11 HOME SNOWFLAKE WHITE (79R44EA),"₦1,648,208.42","₦1,648,208.42",,,https://www.amaget.com/product/hp-pavilion-24-ca1256nh-bundle-all-in-one/,https://www.amaget.com/wp-content/uploads/2023/06/download-62.jpg,Amaget Site
HP PAVILION 24-K0111NH BUNDLE PCINTEL CORE I7-10700T (2.0 GHZ) INTEL UHD GRAPHICS 630 8GB DDR4-2933 MHZ RAM 1TB 7200 RPM SATA HDD 23.8′ CAMERA WI-FI BLUETOOTH USB WIRELESS KEYBOARD & MOUSE BANG & OLUFSEN W/DUAL 5W SPEAKERS WINDOWS 11 HOME SNOWFLAKE WHITE (1H3M0EA) ,"₦1,510,385.42","₦1,510,385.42",,,https://www.amaget.com/product/hp-pavilion-24-k0111nh-bundle-pc/,https://www.amaget.com/wp-content/uploads/2023/06/81PnehwDhRL-300x300.jpg,Amaget Site
HP 24-CB1153NH BUNDLE ALL-IN-ONE PC (782J0EA) INTEL CORE I5-1235U INTEL IRIS XE GRAPHICS 8GB DDR4-3200 MHZ RAM 512GB PCIE NVME M.2 SSD 23.8” WINDOWS 11 HOME JET BLACK,"₦1,171,178.33","₦1,171,178.33",,,https://www.amaget.com/product/hp-24-cb1153nh-bundle-all-in-one-pc/,https://www.amaget.com/wp-content/uploads/2023/06/c08177027-300x300.png,Amaget Site
